IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.72.0,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,57139 kB/s
47.242.42.153,2053,true,HKG,Asia Pacific,Hong Kong,46 ms,57105 kB/s
8.217.159.210,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,56959 kB/s
47.242.59.216,2053,true,HKG,Asia Pacific,Hong Kong,46 ms,56375 kB/s
47.243.107.148,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,55317 kB/s
47.242.54.157,2053,true,HKG,Asia Pacific,Hong Kong,39 ms,53935 kB/s
8.210.207.214,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,53593 kB/s
8.210.66.190,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,53009 kB/s
47.243.5.154,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,52597 kB/s
47.243.60.150,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,52178 kB/s
47.243.183.127,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,52062 kB/s
8.210.21.65,2053,true,HKG,Asia Pacific,Hong Kong,46 ms,51895 kB/s
8.218.85.128,2053,true,HKG,Asia Pacific,Hong Kong,35 ms,51157 kB/s
47.243.74.220,2053,true,HKG,Asia Pacific,Hong Kong,35 ms,50277 kB/s
47.243.173.187,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,49660 kB/s
8.210.101.157,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,49613 kB/s
8.210.9.129,2053,true,HKG,Asia Pacific,Hong Kong,38 ms,49579 kB/s
8.218.8.142,2053,true,HKG,Asia Pacific,Hong Kong,47 ms,49564 kB/s
8.210.146.108,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,49190 kB/s
8.210.89.245,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,48842 kB/s
47.243.90.180,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,48239 kB/s
47.242.171.94,2053,true,HKG,Asia Pacific,Hong Kong,46 ms,47855 kB/s
8.217.66.3,2053,true,HKG,Asia Pacific,Hong Kong,44 ms,47055 kB/s
8.210.55.134,2053,true,HKG,Asia Pacific,Hong Kong,43 ms,46416 kB/s
47.243.234.9,2053,true,HKG,Asia Pacific,Hong Kong,40 ms,46140 kB/s
8.210.174.156,2053,true,HKG,Asia Pacific,Hong Kong,44 ms,45988 kB/s
47.242.174.27,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,44201 kB/s
8.218.48.92,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,42040 kB/s
8.210.119.11,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,41756 kB/s
47.243.203.119,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,41170 kB/s
47.243.70.186,2053,true,HKG,Asia Pacific,Hong Kong,48 ms,40755 kB/s
8.210.175.109,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,40633 kB/s
8.218.143.10,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,40245 kB/s
8.218.201.73,2053,true,HKG,Asia Pacific,Hong Kong,40 ms,39804 kB/s
47.242.234.127,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,36549 kB/s
8.210.65.1,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,27592 kB/s
47.242.7.162,2053,true,HKG,Asia Pacific,Hong Kong,36 ms,25883 kB/s
47.242.202.230,2053,true,HKG,Asia Pacific,Hong Kong,39 ms,15393 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,157 ms,11429 kB/s
8.219.50.180,2053,true,SIN,Asia Pacific,Singapore,265 ms,9327 kB/s
47.245.126.151,2053,true,SIN,Asia Pacific,Singapore,251 ms,8402 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,230 ms,7664 kB/s
132.226.163.224,2053,true,GRU,South America,S?o Paulo,315 ms,4362 kB/s
193.123.61.142,2053,true,AMS,Europe,Amsterdam,223 ms,3327 kB/s
143.47.243.144,2053,true,LHR,Europe,London,222 ms,207 kB/s
132.145.54.84,2053,true,LHR,Europe,London,222 ms,152 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,230 ms,66 kB/s
8.210.126.88,2053,true,HKG,Asia Pacific,Hong Kong,35 ms,47 kB/s
47.243.198.198,2053,true,HKG,Asia Pacific,Hong Kong,42 ms,40 kB/s
47.243.120.239,2053,true,HKG,Asia Pacific,Hong Kong,41 ms,25 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,226 ms,8 kB/s
8.219.208.104,2053,true,SIN,Asia Pacific,Singapore,266 ms,8 kB/s
8.219.240.160,2053,true,SIN,Asia Pacific,Singapore,268 ms,0 kB/s
