IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
152.70.239.134,34237,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,177,18.81
185.146.173.20,2083,TRUE,SJC,US,North America,San Jose,13335,CLOUDFLARENET,445,12.42
173.249.207.151,443,TRUE,SJC,US,North America,San Jose,11878,TZULO,447,12.10
194.53.53.252,443,TRUE,SJC,US,North America,San Jose,209242,"Cloudflare London, LLC",478,10.20
58.127.73.204,30009,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,117,10.00
218.50.84.73,12232,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,129,9.79
175.112.2.137,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,147,9.48
124.111.159.27,30054,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,167,8.66
212.50.231.42,443,TRUE,SJC,US,North America,San Jose,25820,IT7NET,551,8.53
1.236.125.129,30013,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,121,7.99
45.112.155.186,12314,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,179,7.06
175.121.84.216,21242,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,154,7.00
211.206.53.72,30032,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,149,6.94
146.56.166.32,2053,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,184,6.07
165.1.65.220,55200,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,454,5.93
150.230.34.116,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,450,5.48
183.106.76.119,32414,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,483,5.02
119.207.8.45,12402,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,569,4.75
220.87.237.210,12426,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,531,4.70
175.212.237.31,38881,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,532,4.67
125.129.129.66,12245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,701,4.65
220.87.237.210,16082,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,556,4.57
121.159.187.248,10038,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,510,4.56
125.133.233.48,30100,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,501,4.46
140.238.7.57,9999,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,170,4.45
146.235.233.175,12528,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,429,4.44
118.33.22.133,16053,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,540,4.31
220.83.246.53,12132,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,535,4.26
61.81.112.29,18245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,525,4.22
220.94.97.130,12250,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,485,4.22
222.97.154.21,30017,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,704,4.12
222.104.195.186,18108,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,474,4.09
121.140.9.141,27015,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,516,4.08
112.166.159.172,12311,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,549,4.03
121.140.9.141,12328,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,485,3.88
218.149.151.5,12230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,563,3.84
221.155.10.234,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,550,3.72
210.204.129.145,12504,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,571,3.67
192.9.141.240,4443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,416,3.64
112.166.159.172,10030,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,517,3.63
203.229.224.162,10443,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,486,3.61
220.124.16.179,30032,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,733,3.57
119.195.198.168,13001,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,577,3.50
155.248.202.141,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,428,3.48
211.55.202.96,12124,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,549,3.39
118.33.229.115,12309,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,503,3.30
218.149.239.252,10205,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,547,3.29
