IP 地址	端口	TLS	已接收	平均延迟	下载速度 (MB/s)
8.217.232.246	2053	TRUE	1	37.83	28.02
8.218.201.73	2053	TRUE	2	39.44	27.90
47.242.7.162	2053	TRUE	3	35.44	27.72
8.218.243.95	2053	TRUE	4	40.49	27.70
8.218.155.238	2053	TRUE	5	36.97	27.53
47.242.59.216	2053	TRUE	6	38.66	26.77
8.210.156.6	2053	TRUE	7	38.31	26.49
8.210.3.24	2053	TRUE	8	37.49	26.46
8.210.65.1	2053	TRUE	9	35.63	26.40
47.243.169.63	2053	TRUE	10	37.43	26.35
47.242.54.157	2053	TRUE	11	36.58	25.93
8.210.39.96	2053	TRUE	12	43.99	25.79
47.243.183.127	2053	TRUE	13	35.72	25.77
47.242.232.14	2053	TRUE	14	40.09	25.06
47.242.42.153	2053	TRUE	15	34.85	24.55
47.242.202.230	2053	TRUE	16	34.47	24.22
8.218.48.92	2053	TRUE	17	38.21	24.19
8.217.159.210	2053	TRUE	18	36.35	23.23
8.210.21.65	2053	TRUE	19	36.08	23.12
8.217.250.222	2053	TRUE	20	35.54	22.85
8.218.122.55	2053	TRUE	21	40.42	22.57
8.210.175.109	2053	TRUE	22	37.23	20.99
8.218.8.142	2053	TRUE	23	35.47	17.49
47.243.60.150	2053	TRUE	24	36.47	15.25
47.242.174.27	2053	TRUE	25	35.10	8.56
47.243.173.187	2053	TRUE	26	41.79	7.81
47.242.234.127	2053	TRUE	27	37.00	7.15
146.56.166.32	2053	TRUE	4	49.55	6.39
8.217.66.3	2053	TRUE	4	42.58	3.97
47.242.107.109	2053	TRUE	4	36.90	3.60
47.243.74.220	2053	TRUE	4	39.37	2.81
8.210.207.214	2053	TRUE	4	39.53	1.85
8.217.72.0	2053	TRUE	4	34.78	1.47
193.122.125.174	2053	TRUE	4	60.80	0.47
8.218.143.10	2053	TRUE	4	35.50	0.01
47.243.169.90	2053	TRUE	4	37.89	0.00
47.243.120.239	2053	TRUE	4	36.81	0.00
8.210.126.88	2053	TRUE	4	35.64	0.00
47.243.198.198	2053	TRUE	4	37.16	0.00
