IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度 (MB/s)
8.218.243.95	2053	TRUE	1	North America	San Jose	38.43	28.63
8.210.9.129	2053	TRUE	2	Europe	London	36.56	28.51
8.218.201.73	2053	TRUE	3	Europe	Frankfurt	38.21	27.19
47.243.183.127	2053	TRUE	4	Europe	Frankfurt	37.82	26.81
8.217.250.222	2053	TRUE	5	Europe	Frankfurt	36.97	26.70
47.243.169.63	2053	TRUE	6	Europe	Frankfurt	36.03	26.66
8.218.48.92	2053	TRUE	7	Europe	Frankfurt	37.32	25.50
47.242.59.216	2053	TRUE	8	Europe	Frankfurt	36.37	25.40
8.217.159.210	2053	TRUE	9	Europe	Frankfurt	35.09	24.71
8.218.155.238	2053	TRUE	10	Europe	Frankfurt	37.66	24.24
8.210.175.109	2053	TRUE	11	Europe	Frankfurt	38.94	23.91
47.242.174.27	2053	TRUE	12	Europe	Frankfurt	35.34	23.65
47.242.54.157	2053	TRUE	13	Europe	Frankfurt	40.30	23.59
8.210.65.1	2053	TRUE	14	Europe	Frankfurt	34.23	22.26
8.210.3.24	2053	TRUE	15	Europe	Frankfurt	36.74	22.19
8.218.8.142	2053	TRUE	16	North America	Vancouver	38.82	18.58
8.219.86.200	2053	TRUE	17	North America	Toronto	265.56	18.48
47.243.60.150	2053	TRUE	18	Asia Pacific	Seoul	36.21	17.97
8.210.34.188	2053	TRUE	19	Europe	Frankfurt	36.61	17.57
8.210.39.96	2053	TRUE	20	Asia Pacific	Hong Kong	41.19	17.16
47.242.7.162	2053	TRUE	21	Europe	Frankfurt	41.40	15.72
144.24.169.81	2053	TRUE	22	North America	San Jose	218.98	15.59
47.242.234.127	2053	TRUE	23	North America	San Jose	36.63	14.16
47.236.130.95	2053	TRUE	24	Europe	Frankfurt	270.55	13.88
8.210.156.6	2053	TRUE	25	Europe	Frankfurt	40.83	13.80
130.61.203.115	2053	TRUE	26	Asia Pacific	Tokyo	229.98	13.44
130.61.32.86	2053	TRUE	27	Europe	London	255.22	11.18
8.217.66.3	2053	TRUE	28	Europe	Frankfurt	42.07	9.80
132.145.54.84	2053	TRUE	29	Europe	Frankfurt	244.40	7.48
47.245.126.151	2053	TRUE	30	Asia Pacific	Seoul	265.73	7.28
47.242.107.109	2053	TRUE	31	North America	Toronto	37.62	7.17
146.56.166.32	2053	TRUE	32	Asia Pacific	Hong Kong	54.75	7.01
129.146.242.24	2053	TRUE	33	Europe	Frankfurt	193.50	6.16
150.230.20.156	2053	TRUE	34	North America	Toronto	229.93	6.09
47.242.232.14	2053	TRUE	35	North America	Ashburn	39.53	5.85
47.243.74.220	2053	TRUE	36	Oceania	Melbourne	37.95	5.63
143.47.243.144	2053	TRUE	37	Asia Pacific	Hong Kong	244.43	5.24
8.210.21.65	2053	TRUE	38	Asia Pacific	Hong Kong	37.30	2.99
8.218.204.128	2053	TRUE	39	North America	San Jose	41.15	2.65
8.218.122.55	2053	TRUE	40	Asia Pacific	Seoul	37.51	1.17
47.243.173.187	2053	TRUE	41	North America	Ashburn	40.52	1.16
8.210.207.214	2053	TRUE	42	Europe	Frankfurt	39.87	0.73
8.218.143.10	2053	TRUE	43	Asia Pacific	Tokyo	35.81	0.12
141.147.61.116	2053	TRUE	44	Europe	Frankfurt	256.86	0.09
158.101.169.13	2053	TRUE	45	Europe	Amsterdam	222.59	0.07
130.61.239.203	2053	TRUE	46	Asia Pacific	Singapore	238.60	0.05
158.101.175.51	2053	TRUE	47	Asia Pacific	Tokyo	223.34	0.03
130.162.140.215	2053	TRUE	48	Asia Pacific	Tokyo	239.93	0.02
